dataset,mode,fold,run_index,family_id,family_label,result_type,result_label,rmse_raw,rmse_model_space,standardized_targets,source,entry_id,entry_label
wine,kfold,4,4,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,0.6135523915290833,0.7047529220581055,True,baseline,mlkr_knn,MLKR+kNN
wine,kfold,4,4,mlp,MLP,baseline,MLP,0.6613273024559021,0.7596292495727539,True,baseline,mlp,MLP
wine,kfold,5,5,knn_x,kNN(X),baseline,kNN(X),0.6260647177696228,0.7166344523429871,True,baseline,knn_x,kNN(X)
wine,kfold,5,5,mlkr_knn,MLKR+kNN,baseline,MLKR+kNN,0.6012579202651978,0.6882389187812805,True,baseline,mlkr_knn,MLKR+kNN
wine,kfold,5,5,mlp,MLP,baseline,MLP,0.6558616161346436,0.7507418990135193,True,baseline,mlp,MLP
califonia_housing,kfold,1,1,softmax,NN-kNN (softmax),pure,pure,0.6028351187705994,0.5213816165924072,True,nnknn,softmax:pure,NN-kNN (softmax) - pure
califonia_housing,kfold,1,1,softmax,NN-kNN (softmax),adaptation,adaptation,0.5633094310760498,0.48719653487205505,True,nnknn,softmax:adaptation,NN-kNN (softmax) - adaptation
califonia_housing,kfold,1,1,softmax_locality,NN-kNN (softmax) + locality,locality,locality,0.6699016094207764,0.5793862342834473,True,nnknn,softmax_locality:locality,NN-kNN (softmax) + locality - locality
califonia_housing,kfold,1,1,softmax_locality,NN-kNN (softmax) + locality,locality + adaptation,locality + adaptation,0.6315015554428101,0.5461747646331787,True,nnknn,softmax_locality:locality + adaptation,NN-kNN (softmax) + locality - locality + adaptation
califonia_housing,kfold,1,1,sparsemax,NN-kNN (sparsemax),pure,pure,0.43799522519111633,0.3788144290447235,True,nnknn,sparsemax:pure,NN-kNN (sparsemax) - pure
califonia_housing,kfold,1,1,sparsemax,NN-kNN (sparsemax),adaptation,adaptation,0.4330413341522217,0.3745299279689789,True,nnknn,sparsemax:adaptation,NN-kNN (sparsemax) - adaptation
califonia_housing,kfold,1,1,sparsemax_locality,NN-kNN (sparsemax) + locality,locality,locality,0.4298338294029236,0.37175577878952026,True,nnknn,sparsemax_locality:locality,NN-kNN (sparsemax) + locality - locality
califonia_housing,kfold,1,1,sparsemax_locality,NN-kNN (sparsemax) + locality,locality + adaptation,locality + adaptation,0.4270801544189453,0.36937424540519714,True,nnknn,sparsemax_locality:locality + adaptation,NN-kNN (sparsemax) + locality - locality + adaptation
califonia_housing,kfold,2,2,softmax,NN-kNN (softmax),pure,pure,0.6040510535240173,0.5252159833908081,True,nnknn,softmax:pure,NN-kNN (softmax) - pure
califonia_housing,kfold,2,2,softmax,NN-kNN (softmax),adaptation,adaptation,0.5522946715354919,0.48021429777145386,True,nnknn,softmax:adaptation,NN-kNN (softmax) - adaptation
califonia_housing,kfold,2,2,softmax_locality,NN-kNN (softmax) + locality,locality,locality,0.6753718256950378,0.5872285962104797,True,nnknn,softmax_locality:locality,NN-kNN (softmax) + locality - locality
califonia_housing,kfold,2,2,softmax_locality,NN-kNN (softmax) + locality,locality + adaptation,locality + adaptation,0.7185393571853638,0.6247622966766357,True,nnknn,softmax_locality:locality + adaptation,NN-kNN (softmax) + locality - locality + adaptation
califonia_housing,kfold,2,2,sparsemax,NN-kNN (sparsemax),pure,pure,0.4395207464694977,0.3821586072444916,True,nnknn,sparsemax:pure,NN-kNN (sparsemax) - pure
califonia_housing,kfold,2,2,sparsemax,NN-kNN (sparsemax),adaptation,adaptation,0.44250762462615967,0.3847556412220001,True,nnknn,sparsemax:adaptation,NN-kNN (sparsemax) - adaptation
califonia_housing,kfold,2,2,sparsemax_locality,NN-kNN (sparsemax) + locality,locality,locality,0.45018914341926575,0.3914346694946289,True,nnknn,sparsemax_locality:locality,NN-kNN (sparsemax) + locality - locality
califonia_housing,kfold,2,2,sparsemax_locality,NN-kNN (sparsemax) + locality,locality + adaptation,locality + adaptation,0.4457044303417206,0.38753530383110046,True,nnknn,sparsemax_locality:locality + adaptation,NN-kNN (sparsemax) + locality - locality + adaptation
califonia_housing,kfold,3,3,softmax,NN-kNN (softmax),pure,pure,0.5884606242179871,0.5084977149963379,True,nnknn,softmax:pure,NN-kNN (softmax) - pure
califonia_housing,kfold,3,3,softmax,NN-kNN (softmax),adaptation,adaptation,0.5420376658439636,0.46838292479515076,True,nnknn,softmax:adaptation,NN-kNN (softmax) - adaptation
califonia_housing,kfold,3,3,softmax_locality,NN-kNN (softmax) + locality,locality,locality,0.6664873957633972,0.5759218335151672,True,nnknn,softmax_locality:locality,NN-kNN (softmax) + locality - locality
