dataset,mode,fold,run_index,family_id,family_label,result_type,result_label,rmse_raw,rmse_model_space,standardized_targets,source,entry_id,entry_label,resume_source
califonia_housing,kfold,1,1,sparsemax_locality,NN-kNN (sparsemax) + locality,locality,locality,0.44539874792099,0.3860435485839844,True,nnknn,sparsemax_locality:locality,NN-kNN (sparsemax) + locality - locality,checkpoint
califonia_housing,kfold,1,1,sparsemax_locality,NN-kNN (sparsemax) + locality,locality + adaptation,locality + adaptation,0.44445082545280457,0.385221928358078,True,nnknn,sparsemax_locality:locality + adaptation,NN-kNN (sparsemax) + locality - locality + adaptation,checkpoint
califonia_housing,kfold,2,2,softmax,NN-kNN (softmax),pure,pure,0.5836880207061768,0.50620436668396,True,nnknn,softmax:pure,NN-kNN (softmax) - pure,checkpoint
califonia_housing,kfold,2,2,softmax,NN-kNN (softmax),adaptation,adaptation,0.533673882484436,0.4628295600414276,True,nnknn,softmax:adaptation,NN-kNN (softmax) - adaptation,checkpoint
califonia_housing,kfold,2,2,softmax_locality,NN-kNN (softmax) + locality,locality,locality,0.6743615865707397,0.584841251373291,True,nnknn,softmax_locality:locality,NN-kNN (softmax) + locality - locality,checkpoint
califonia_housing,kfold,2,2,softmax_locality,NN-kNN (softmax) + locality,locality + adaptation,locality + adaptation,0.5353907346725464,0.46431851387023926,True,nnknn,softmax_locality:locality + adaptation,NN-kNN (softmax) + locality - locality + adaptation,checkpoint
califonia_housing,kfold,2,2,sparsemax,NN-kNN (sparsemax),pure,pure,0.4267190098762512,0.37007275223731995,True,nnknn,sparsemax:pure,NN-kNN (sparsemax) - pure,checkpoint
califonia_housing,kfold,2,2,sparsemax,NN-kNN (sparsemax),adaptation,adaptation,0.42932382225990295,0.37233176827430725,True,nnknn,sparsemax:adaptation,NN-kNN (sparsemax) - adaptation,checkpoint
califonia_housing,kfold,2,2,sparsemax_locality,NN-kNN (sparsemax) + locality,locality,locality,0.42683103680610657,0.3701699376106262,True,nnknn,sparsemax_locality:locality,NN-kNN (sparsemax) + locality - locality,checkpoint
califonia_housing,kfold,2,2,sparsemax_locality,NN-kNN (sparsemax) + locality,locality + adaptation,locality + adaptation,0.4280244708061218,0.3712049126625061,True,nnknn,sparsemax_locality:locality + adaptation,NN-kNN (sparsemax) + locality - locality + adaptation,checkpoint
